Timestamp,TERM_ANA,LM35_0,LM35_1,LM35_2,DS18B20_0,DS18B20_1,DS18B20_2
2025-05-20 15:01:11,802.0,23.0,806.0,361.0,18.19,14.5,16.31
2025-05-20 15:01:13,805.0,31.0,832.0,658.0,18.12,14.5,16.31
2025-05-20 15:01:14,804.0,24.0,800.0,466.0,18.19,14.5,16.31
2025-05-20 15:01:16,808.0,23.0,802.0,811.0,18.19,14.5,16.31
2025-05-20 15:01:18,806.0,27.0,802.0,600.0,18.12,14.5,16.31
2025-05-20 15:01:19,805.0,33.0,795.0,682.0,18.12,14.5,16.31
2025-05-20 15:01:21,806.0,32.0,802.0,828.0,18.06,14.56,16.31
2025-05-20 15:01:23,801.0,29.0,0.0,0.0,18.06,14.5,16.31
2025-05-20 15:01:25,806.0,21.0,363.0,436.0,18.06,14.56,16.31
2025-05-20 15:01:26,805.0,23.0,280.0,342.0,18.06,14.5,16.31
2025-05-20 15:01:28,805.0,24.0,195.0,272.0,18.06,14.5,16.31
2025-05-20 15:01:30,804.0,31.0,369.0,362.0,18.06,14.56,16.31
2025-05-20 15:01:31,804.0,24.0,364.0,483.0,18.0,14.56,16.31
2025-05-20 15:01:33,801.0,645.0,541.0,40.0,18.0,14.56,16.31
2025-05-20 15:01:35,802.0,480.0,331.0,38.0,18.0,14.5,16.31
2025-05-20 15:01:36,802.0,972.0,1017.0,27.0,18.0,14.5,16.31
2025-05-20 15:01:38,803.0,603.0,574.0,28.0,18.0,14.5,16.31
2025-05-20 15:01:40,800.0,783.0,719.0,26.0,18.0,14.5,16.31
2025-05-20 15:01:41,802.0,422.0,276.0,29.0,18.0,14.5,16.31
2025-05-20 15:01:43,804.0,845.0,742.0,33.0,18.0,14.56,16.31
2025-05-20 15:01:45,803.0,680.0,496.0,53.0,17.94,14.5,16.31
2025-05-20 15:01:47,804.0,983.0,1023.0,49.0,17.94,14.5,16.31
2025-05-20 15:01:48,801.0,639.0,528.0,41.0,17.94,14.5,16.31
2025-05-20 15:01:50,803.0,770.0,786.0,34.0,17.94,14.5,16.31
2025-05-20 15:01:52,800.0,402.0,390.0,24.0,17.94,14.5,16.31
2025-05-20 15:01:53,802.0,1023.0,706.0,29.0,17.94,14.56,16.31
